NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
6649	1	1000	7	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	8	200.000092	0	0	0	776	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	8	200.000092	9	9	0	2	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	9	200.000092	0	0	0	833	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	9	200.000092	9	9	0	1	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	10	200.000092	0	0	0	827	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	10	200.000092	9	9	0	2	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	-1	200.000092	0	0	0	998	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	-1	200.000092	9	9	0	2	1.206277	0.001458	194.086761	1	0	0
6649	2	100	0	200.000092	0	0	0	194	1.000000	0.001458	0.000000	0	0	0
6649	2	100	0	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	1	200.000092	0	0	0	194	1.000000	0.001458	0.000000	0	0	0
6649	2	100	1	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	2	200.000092	0	0	0	183	1.000000	0.001458	0.000000	0	0	0
6649	2	100	2	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	3	200.000092	0	0	0	183	1.000000	0.001458	0.000000	0	0	0
6649	2	100	3	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	4	200.000092	0	0	0	200	1.000000	0.001458	0.000000	0	0	0
6649	2	100	4	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	5	200.000092	0	0	0	200	1.000000	0.001458	0.000000	0	0	0
6649	2	100	5	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	6	200.000092	0	0	0	200	1.000000	0.001458	0.000000	0	0	0
6649	2	100	6	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	7	200.000092	0	0	0	184	1.000000	0.001458	0.000000	0	0	0
6649	2	100	7	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	8	200.000092	0	0	0	184	1.000000	0.001458	0.000000	0	0	0
6649	2	100	8	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	9	200.000092	0	0	0	200	1.000000	0.001458	0.000000	0	0	0
6649	2	100	9	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	10	200.000092	0	0	0	200	1.000000	0.001458	0.000000	0	0	0
6649	2	100	10	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	100	-1	200.000092	0	0	0	200	1.000000	0.001458	0.000000	0	0	0
6649	2	100	-1	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	0	200.000092	0	0	0	700	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	0	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	1	200.000092	0	0	0	862	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	1	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	2	200.000092	0	0	0	1112	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	2	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	3	200.000092	0	0	0	1341	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	3	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
