Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
173.086197	5336	265976	260641	371	34.614506	0.000000	24.637932	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2036	2029	1	23	18	15977	2	50268	5336	0	0	0	0	0	0	0	0	0	0
174.086243	5420	271292	265873	377	34.777122	0.000000	23.824406	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2081	2074	1	23	18	16322	2	51310	5420	0	0	0	0	0	0	0	0	0	0
175.086243	5516	276684	271169	389	34.918240	0.000000	23.837282	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2131	2121	1	23	20	16656	2	52314	5516	0	0	0	0	0	0	0	0	0	0
176.086273	5619	282288	276670	395	35.219078	0.000178	24.250044	0.000178	1.000005e+00	1.457678e-03	1.555511e-07	0.000000e+00	2186	2175	2	23	19	17002	2	53378	5618	1	0	0	0	0	0	0	0	0	0
177.086395	5704	288029	282326	401	35.397091	0.000000	24.306746	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2223	2215	1	24	19	17353	2	54496	5704	0	0	0	0	0	0	0	0	0	0
178.086456	5736	293805	288070	407	35.662308	0.000000	25.498373	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2219	2213	1	24	19	17696	2	55620	5736	0	0	0	0	0	0	0	0	0	0
179.086563	5863	299665	293803	418	35.781853	0.000000	26.361595	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2248	2243	1	24	18	18047	2	56746	5863	0	0	0	0	0	0	0	0	0	0
180.086578	5930	305552	299623	426	36.016693	0.000000	26.810648	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2313	2304	1	24	18	18430	2	57940	5930	0	0	0	0	0	0	0	0	0	0
181.086594	5960	311458	305499	432	36.110401	0.000000	26.437897	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2293	2284	1	24	18	18749	2	59085	5960	0	0	0	0	0	0	0	0	0	0
182.086700	5963	317413	311451	438	36.329868	0.000000	26.369967	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2334	2326	1	24	17	19124	2	60257	5963	0	0	0	0	0	0	0	0	0	0
183.086716	6032	323372	317341	447	36.492374	0.000000	25.486952	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2311	2302	1	24	19	19436	2	61362	6032	0	0	0	0	0	0	0	0	0	0
184.086792	6044	329444	323401	457	36.702019	0.000000	26.559654	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2338	2328	1	24	19	19778	2	62489	6044	0	0	0	0	0	0	0	0	0	0
185.086823	6130	335440	329311	469	36.894779	0.000000	26.622969	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2336	2326	1	25	18	20117	2	63591	6130	0	0	0	0	0	0	0	0	0	0
186.086838	6178	341570	335393	477	37.180317	0.000000	26.730837	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2303	2292	1	25	17	20460	2	64744	6178	0	0	0	0	0	0	0	0	0	0
187.086884	6238	347746	341509	486	37.399647	0.000000	26.901363	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2343	2333	1	26	19	20832	2	65905	6238	0	0	0	0	0	0	0	0	0	0
188.086914	6280	353901	347622	490	37.531212	0.000000	27.841291	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2339	2332	1	26	19	21173	2	67072	6280	0	0	0	0	0	0	0	0	0	0
189.086929	6349	360300	353952	497	37.853676	0.000000	27.842295	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2386	2375	1	26	18	21576	2	68285	6349	0	0	0	0	0	0	0	0	0	0
190.086929	6382	366602	360221	502	38.043873	0.000000	26.898436	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2412	2405	1	26	18	21938	2	69427	6382	0	0	0	0	0	0	0	0	0	0
191.086960	6478	373062	366585	511	38.321396	0.000000	27.836746	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2487	2479	1	26	18	22326	2	70661	6478	0	0	0	0	0	0	0	0	0	0
192.087036	6519	379584	373066	519	38.595032	0.000000	27.977369	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2522	2513	1	27	21	22713	2	71905	6519	0	0	0	0	0	0	0	0	0	0
193.087051	6546	385952	379407	522	38.812710	0.000000	28.652014	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2544	2540	1	27	21	23099	2	73099	6546	0	0	0	0	0	0	0	0	0	0
194.087143	6631	392462	385832	530	39.196350	0.000000	29.120495	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2607	2600	1	27	22	23512	2	74330	6631	0	0	0	0	0	0	0	0	0	0
195.087204	6681	398983	392303	541	39.231403	0.000000	30.058435	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2592	2580	1	27	23	23853	2	75552	6681	0	0	0	0	0	0	0	0	0	0
196.087448	6761	405743	398983	553	39.363113	0.000000	31.110060	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2607	2598	1	27	22	24272	2	76837	6761	0	0	0	0	0	0	0	0	0	0
